0	RM11_HUMAN
1	GUAD_HUMAN
2	B2R513_HUMAN
3	IF_HUMAN
4	PDE10_HUMAN
5	F1D8Q9_HUMAN
6	CX057_HUMAN
7	UBP49_HUMAN
8	MID51_HUMAN
9	FRM4A_HUMAN
10	B5ME49_HUMAN
11	NAC1_HUMAN
12	CAMP1_HUMAN
13	ZN140_HUMAN
14	TMM33_HUMAN
15	TAB3_HUMAN
16	EDAD_HUMAN
17	O10J1_HUMAN
18	SNP29_HUMAN
19	SIAS_HUMAN
20	CRUM1_HUMAN
21	FXYD3_HUMAN
22	DNJB5_HUMAN
23	Q14D22_HUMAN
24	CC50A_HUMAN
25	ZN234_HUMAN
26	THAP8_HUMAN
27	RAD52_HUMAN
28	E5KQS5_HUMAN
29	OSTA_HUMAN
30	PPCE_HUMAN
31	TGIF1_HUMAN
32	EXPH5_HUMAN
33	B4E2X3_HUMAN
34	NACAD_HUMAN
35	FASTK_HUMAN
36	DHX29_HUMAN
37	PTK7_HUMAN
38	ADRO_HUMAN
39	LDLR_HUMAN
40	GIMA4_HUMAN
41	RF1M_HUMAN
42	TM40L_HUMAN
43	ARBK1_HUMAN
44	RL18A_HUMAN
45	TRPV2_HUMAN
46	COMD5_HUMAN
47	F5GZ31_HUMAN
48	E5KLJ5_HUMAN
49	CTND2_HUMAN
50	F263_HUMAN
51	K7ELL7_HUMAN
52	LFG4_HUMAN
53	PDZD2_HUMAN
54	SYTL3_HUMAN
55	TM14B_HUMAN
56	CENPM_HUMAN
57	VPS16_HUMAN
58	AP3B1_HUMAN
59	1B27_HUMAN
60	TRYB2_HUMAN
61	HEM0_HUMAN
62	SIG11_HUMAN
63	CIKS_HUMAN
64	CDON_HUMAN
65	1A23_HUMAN
66	IKBB_HUMAN
67	Q58EY0_HUMAN
68	MBOA7_HUMAN
69	TSYL5_HUMAN
70	G3PT_HUMAN
71	EXOS8_HUMAN
72	N2DL3_HUMAN
73	DTBP1_HUMAN
74	PSMD4_HUMAN
75	HAND2_HUMAN
76	PAPP2_HUMAN
77	PEBP1_HUMAN
78	ADPPT_HUMAN
79	GRHL1_HUMAN
80	FZD3_HUMAN
81	IYD1_HUMAN
82	MARH6_HUMAN
83	RHG27_HUMAN
84	RPC7_HUMAN
85	SHSA2_HUMAN
86	MOSC1_HUMAN
87	H2EHT1_HUMAN
88	AT2L2_HUMAN
89	Q86SX1_HUMAN
90	RM39_HUMAN
91	A4D1K0_HUMAN
92	TGFR2_HUMAN
93	SELS_HUMAN
94	FUBP3_HUMAN
95	ERAL1_HUMAN
96	TENA_HUMAN
97	AASD1_HUMAN
98	TIM9_HUMAN
99	FZR_HUMAN
100	FZD8_HUMAN
101	SYG_HUMAN
102	CC038_HUMAN
103	TAF2_HUMAN
104	EI2BD_HUMAN
105	LMF1_HUMAN
106	NPS3A_HUMAN
107	GLTL5_HUMAN
108	ZSC20_HUMAN
109	KRT83_HUMAN
110	CCER1_HUMAN
111	EKI1_HUMAN
112	DHCR7_HUMAN
113	LMAN1_HUMAN
114	TEX37_HUMAN
115	FGF17_HUMAN
116	PKHM1_HUMAN
117	AVEN_HUMAN
118	SIA7E_HUMAN
119	TMED4_HUMAN
120	DHDDS_HUMAN
121	B7Z2R4_HUMAN
122	HNMT_HUMAN
123	TTLL1_HUMAN
124	RASF8_HUMAN
125	ABCD3_HUMAN
126	TUT7_HUMAN
127	LIRB4_HUMAN
128	PG12A_HUMAN
129	SENP8_HUMAN
130	R10B2_HUMAN
131	OSTC_HUMAN
132	SHLB1_HUMAN
133	Q7Z4W8_HUMAN
134	TAF4_HUMAN
135	TRI23_HUMAN
136	KCA10_HUMAN
137	K2018_HUMAN
138	PCDB8_HUMAN
139	SESN1_HUMAN
140	FEZ2_HUMAN
141	CNN3_HUMAN
142	Q9UN21_HUMAN
143	DHB3_HUMAN
144	THAP1_HUMAN
145	PAX1_HUMAN
146	ANF_HUMAN
147	ZN165_HUMAN
148	A8K6K3_HUMAN
149	HEXA_HUMAN
150	A8ASI8_HUMAN
151	XBP1_HUMAN
152	SHAN3_HUMAN
153	ZFAN1_HUMAN
154	HPBP1_HUMAN
155	DIAP3_HUMAN
156	ABCAC_HUMAN
157	K0232_HUMAN
158	CATZ_HUMAN
159	NACC2_HUMAN
160	SPHK2_HUMAN
161	KCND1_HUMAN
162	TBCC1_HUMAN
163	TB10A_HUMAN
164	GBRA6_HUMAN
165	Q8IXL1_HUMAN
166	Q8WXF2_HUMAN
167	TBA4A_HUMAN
168	CDHR2_HUMAN
169	PPE2_HUMAN
170	LYAM3_HUMAN
171	AT1B2_HUMAN
172	Q8NI16_HUMAN
173	INPP_HUMAN
174	HYDIN_HUMAN
175	TT30A_HUMAN
176	A0N0Q0_HUMAN
177	STK38_HUMAN
178	Q9MY50_HUMAN
179	DONS_HUMAN
180	CBLB_HUMAN
181	ARHG4_HUMAN
182	RGPS2_HUMAN
183	A6NNZ0_HUMAN
184	4F2_HUMAN
185	COMP_HUMAN
186	TPC13_HUMAN
187	ICEF1_HUMAN
188	B6ZGS9_HUMAN
189	R7BP_HUMAN
190	PAPD5_HUMAN
191	ARL6_HUMAN
192	GRIP1_HUMAN
193	SMAD4_HUMAN
194	SRA1_HUMAN
195	EBLN2_HUMAN
196	Q9BRV4_HUMAN
197	SMC2_HUMAN
198	RAB10_HUMAN
199	B4DY20_HUMAN
200	FWCH1_HUMAN
201	AGTR2_HUMAN
202	TALAN_HUMAN
203	PKP3_HUMAN
204	KAP2_HUMAN
205	SDCB1_HUMAN
206	FCER2_HUMAN
207	E2F6_HUMAN
208	PREB_HUMAN
209	B4E2A9_HUMAN
210	PRC2C_HUMAN
211	B1AQ61_HUMAN
212	SFRP3_HUMAN
213	TALDO_HUMAN
214	B4DNC9_HUMAN
215	KAD3_HUMAN
216	REEP1_HUMAN
217	GSTM1_HUMAN
218	CAR16_HUMAN
219	DOHH_HUMAN
220	NJMU_HUMAN
221	FPGT_HUMAN
222	Q9BTN8_HUMAN
223	CA109_HUMAN
224	COA3_HUMAN
225	IPP2_HUMAN
226	JOS2_HUMAN
227	NDUA7_HUMAN
228	HYI_HUMAN
229	VAT1L_HUMAN
230	SNCAP_HUMAN
231	F5H282_HUMAN
232	CCL8_HUMAN
233	SESQ2_HUMAN
234	SSH2_HUMAN
235	ZN462_HUMAN
236	FLNA_HUMAN
237	TBC19_HUMAN
238	HRSL5_HUMAN
239	HXD11_HUMAN
240	KLDC1_HUMAN
241	TNK1_HUMAN
242	PLIN4_HUMAN
243	ANX11_HUMAN
244	MTPN_HUMAN
